state,county,tract,B08134_022E,B08134_023E,B08134_024E,B08134_025E,B08134_026E,B08134_027E,B08134_028E,B08134_029E,B08134_030E,B08134_032E,B08134_033E,B08134_034E,B08134_035E,B08134_036E,B08134_037E,B08134_038E,B08134_039E,B08134_040E,B08134_062E,B08134_063E,B08134_064E,B08134_065E,B08134_066E,B08134_067E,B08134_068E,B08134_069E,B08134_070E,B08134_102E,B08134_103E,B08134_104E,B08134_105E,B08134_106E,B08134_107E,B08134_108E,B08134_109E,B08134_110E,B08134_112E,B08134_113E,B08134_114E,B08134_115E,B08134_116E,B08134_117E,B08134_118E,B08134_119E,B08134_120E
48,025,950400,347,103,17,21,0,70,0,0,32,23,7,33,0,0,15,26,39,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,8,0,0,0,0,9,0,0,0
48,025,950500,938,650,151,40,0,131,59,120,92,25,125,139,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,34,60,0,0,0,0,0,0,0
48,025,950600,42,81,144,79,20,142,11,38,174,0,0,0,2,10,60,56,8,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
48,027,020100,269,261,838,611,154,306,126,148,93,0,34,45,15,16,100,30,16,0,0,0,0,0,0,0,0,0,0,12,7,0,0,0,0,0,0,0,35,0,6,39,0,13,0,0,0
48,027,020201,235,483,866,546,108,171,138,54,63,0,43,79,38,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,41,0,0,0,0,0,18
48,027,020202,45,360,394,511,254,237,145,101,136,0,0,0,67,0,42,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,027,020300,237,1214,909,462,153,285,349,169,84,64,87,0,86,25,20,20,37,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
48,027,020401,186,396,247,26,18,22,64,69,10,32,69,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,027,020402,94,275,132,88,18,24,36,20,18,0,22,13,5,0,5,8,0,15,0,0,0,3,0,0,0,0,0,0,0,11,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
48,027,020500,348,561,273,103,17,56,47,22,4,0,23,0,35,0,17,0,0,9,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0
48,027,020600,169,385,225,80,62,75,20,18,0,0,132,6,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,8,0,0,0,0,6,0,0,0,0,0,0,0
48,027,020701,29,59,22,4,6,18,10,0,0,1,29,25,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,36,9,0,0,0,0,0,0,0
48,027,020702,63,170,103,19,0,112,4,0,6,12,40,65,15,0,12,0,15,0,0,0,0,0,0,11,0,0,0,13,0,0,0,0,0,0,0,0,0,11,0,0,0,8,0,0,0
48,027,020800,171,321,267,144,53,43,59,32,0,0,0,36,18,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,25,24,0,0,37,0,0,0,0,0,0,0
48,027,020900,89,250,93,78,24,31,0,7,34,5,12,0,20,3,0,0,0,11,0,5,0,0,0,0,0,0,5,76,20,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
48,027,021000,439,496,274,43,0,80,66,24,17,60,59,53,105,0,25,12,0,0,0,0,0,0,0,0,0,0,0,6,9,0,0,0,40,0,0,0,11,0,14,0,0,0,0,0,0
48,027,021100,921,513,394,126,133,50,44,74,20,164,20,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,14,16,0,0,0,0,0,0,0
48,027,021201,192,467,307,125,46,29,31,0,31,18,6,31,13,0,16,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0
48,027,021202,427,614,434,144,7,51,51,39,0,47,9,37,39,0,17,0,24,15,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,027,021203,563,512,260,117,34,42,67,30,20,35,40,0,13,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
48,027,021301,590,584,239,246,189,51,63,67,13,18,23,21,26,13,17,0,0,25,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,027,021302,394,473,168,86,8,55,116,30,19,45,94,26,22,13,10,0,0,14,0,0,0,0,0,0,0,0,0,37,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
48,027,021303,644,866,587,197,159,32,27,43,72,60,161,37,0,0,17,0,16,0,0,13,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0
48,027,021400,153,341,350,209,119,135,41,57,118,14,25,46,9,8,19,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,7,0,0,4,0,0,0,0,0
48,027,021500,499,590,726,182,0,188,40,104,91,34,144,170,12,0,51,12,38,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
48,027,021601,438,434,359,222,50,182,30,72,44,54,114,191,27,0,0,13,0,6,0,0,0,0,0,0,0,0,0,0,0,24,0,0,8,0,0,0,0,0,26,0,0,0,0,0,0
48,027,021602,76,178,151,77,22,55,29,0,17,21,23,12,0,0,0,0,6,0,0,0,0,0,0,4,0,0,0,167,4,18,0,0,0,0,0,0,0,9,0,0,0,0,0,0,3
48,027,021700,495,369,673,508,200,485,93,197,67,0,75,17,81,0,12,0,35,54,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0
48,027,021800,126,185,425,335,252,330,59,196,219,10,17,31,102,46,91,6,0,22,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,6,0,0,18,0,21,0,4,0
48,027,021901,260,377,305,158,67,76,24,36,6,37,12,21,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0
48,027,021903,537,349,538,935,441,487,110,58,28,0,111,0,76,18,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0
48,027,021904,534,577,710,510,202,559,19,80,191,42,113,71,0,0,26,33,0,0,7,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,16,0,0,0,0,0,56,0
48,027,022000,461,362,367,551,261,394,170,106,89,163,120,63,197,19,90,45,0,64,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0
48,027,022101,175,191,367,233,50,167,59,91,98,54,21,51,46,5,14,0,7,3,0,0,0,0,0,0,0,0,0,8,0,23,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0
48,027,022103,182,493,530,228,234,177,26,68,113,19,18,43,39,0,60,0,42,13,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,7,0,0
48,027,022104,198,240,371,166,58,70,50,23,21,75,24,11,63,0,69,0,2,15,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0
48,027,022105,63,122,103,115,14,48,23,15,40,8,30,96,10,43,4,0,67,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,5,0,0
48,027,022200,244,174,393,184,78,57,0,83,76,17,30,0,24,48,15,0,13,0,0,0,0,0,0,0,0,0,0,32,7,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,22
48,027,022300,325,262,348,247,66,230,76,34,47,31,14,38,13,0,20,0,0,8,0,0,0,0,0,0,0,0,0,40,0,21,0,0,0,8,0,0,0,0,30,0,0,0,0,0,0
48,027,022401,496,538,330,264,214,247,96,12,124,46,64,74,42,29,19,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0
48,027,022402,108,193,621,808,224,368,23,106,46,12,8,37,19,0,67,7,0,0,0,0,0,0,0,0,0,0,0,9,0,42,0,0,0,0,0,0,0,9,0,6,0,24,14,0,0
48,027,022403,189,302,563,153,207,122,23,89,11,17,0,62,21,32,0,0,19,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
48,027,022404,520,442,623,511,91,619,96,220,122,41,0,129,151,0,31,0,6,16,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,44,0,22,0,181,0,17,0,0,0
48,027,022405,52,195,314,225,44,116,13,63,1,27,23,16,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
48,027,022501,180,170,238,226,26,189,33,28,74,0,24,17,6,0,31,30,11,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,9,11,0,0,0,0,0,0
48,027,022502,252,890,906,781,195,223,125,96,299,52,137,48,19,13,38,24,9,13,0,0,0,0,0,0,0,0,0,150,30,0,0,12,0,0,0,0,0,13,0,24,0,0,0,0,47
