state,county,tract,C18108_003E,C18108_004E,C18108_005E,C18108_007E,C18108_008E,C18108_009E,C18108_011E,C18108_012E,C18108_013E
48,029,181402,30,0,300,51,83,1467,24,44,32
48,029,181403,28,0,1224,219,107,4760,29,243,57
48,029,181404,0,0,987,184,185,3176,38,264,188
48,029,181503,106,10,1336,183,92,4301,136,248,319
48,029,181504,36,16,972,243,167,4077,46,180,191
48,029,181505,29,31,802,125,141,2663,212,125,574
48,029,181506,33,0,934,118,190,2400,122,242,334
48,029,181601,0,0,695,126,102,1683,96,112,369
48,029,181602,78,0,1867,315,263,3059,103,218,399
48,029,181703,42,0,1684,107,276,4244,221,99,344
48,029,181704,9,22,1354,168,216,3372,57,130,445
48,029,181705,54,0,1110,204,37,3426,51,181,243
48,029,181711,116,0,1893,334,179,4511,154,322,363
48,029,181712,26,0,815,170,111,2171,123,144,210
48,029,181713,311,0,2037,322,223,4050,67,97,580
48,029,181715,29,78,1638,293,400,3537,96,84,286
48,029,181716,62,0,1831,279,342,4298,0,168,209
48,029,181718,71,14,1380,183,91,3093,127,41,300
48,029,181720,17,0,1401,113,125,2730,24,54,301
48,029,181721,24,0,992,118,142,2366,62,25,204
48,029,181722,12,0,1153,173,89,2925,53,1,314
48,029,181723,27,0,1461,309,121,2679,35,38,290
48,029,181724,43,0,1892,209,75,2996,95,9,161
48,029,181725,120,0,1366,328,159,3113,73,105,226
48,029,181726,10,60,3075,280,100,5502,30,46,215
48,029,181727,11,34,1130,177,85,1929,37,76,160
48,029,181728,14,153,3935,123,228,6505,60,80,179
48,029,181729,112,0,1789,0,113,2576,9,39,150
48,029,181730,14,0,1253,137,75,2328,65,64,161
48,029,181731,14,26,1885,140,399,4171,177,191,390
48,029,181808,37,5,261,63,108,678,50,81,135
48,029,181809,103,0,1497,360,331,3397,100,306,194
48,029,181811,24,17,792,231,88,2192,145,79,357
48,029,181813,24,21,1394,57,68,4685,94,28,148
48,029,181814,0,0,748,181,24,2520,54,126,146
48,029,181815,11,11,531,211,100,2587,45,57,246
48,029,181816,54,0,1047,126,165,2718,108,106,305
48,029,181817,12,0,821,113,91,1851,88,273,231
48,029,181818,46,0,1038,93,159,2897,159,206,287
48,029,181819,115,0,1395,340,266,3739,100,154,57
48,029,181820,9,14,162,147,99,5321,49,25,54
48,029,181821,54,0,832,95,90,2220,117,52,61
48,029,181822,23,0,916,133,93,3381,101,72,302
48,029,181823,14,8,423,73,0,2302,20,34,78
48,029,181824,0,0,1472,98,45,3342,84,128,223
48,029,181825,0,0,769,97,52,2227,45,46,80
48,029,181826,35,89,1620,147,140,4128,173,128,226
48,029,181901,15,0,463,135,32,2920,19,0,77
48,029,181902,21,7,1742,54,57,3763,140,41,479
48,029,182001,62,11,1536,77,20,3107,66,48,212
48,029,182002,20,0,2616,105,219,5250,107,69,759
48,029,182003,36,0,775,64,44,2424,46,18,330
48,029,182101,15,0,1700,103,223,3838,199,58,1161
48,029,182102,13,42,2224,197,160,4087,75,141,557
48,029,182103,14,0,546,61,34,1364,57,30,315
48,029,182105,29,0,628,31,54,1425,20,80,188
48,029,182106,24,48,1612,180,127,3393,132,295,439
48,029,190100,49,0,659,310,196,1590,100,136,201
48,029,190200,19,60,631,165,171,2464,121,183,531
48,029,190400,0,0,321,65,0,3317,44,29,273
48,029,190501,52,26,635,143,70,1452,22,47,212
48,029,190503,0,0,495,61,162,2405,79,146,246
48,029,190504,8,0,522,80,94,1508,104,123,175
48,029,190601,45,0,989,154,192,2189,51,74,200
48,029,190603,0,23,617,74,66,1710,11,119,202
48,029,190604,0,0,1193,65,181,2483,116,90,257
48,029,190700,40,0,261,127,85,1750,66,80,349
48,029,190800,3,0,514,22,36,1090,35,0,315
48,029,190901,0,15,1221,155,313,3516,194,242,357
48,029,190902,44,27,720,121,159,2256,79,107,470
48,029,191003,10,16,1697,206,127,4612,166,310,610
48,029,191004,75,10,1138,112,158,2096,41,103,163
48,029,191005,0,0,657,76,27,1311,43,39,188
48,029,191006,63,0,1591,177,139,3501,125,181,488
48,029,191101,13,0,310,48,25,839,72,70,183
48,029,191102,18,0,442,54,25,1059,127,304,641
48,029,191201,0,0,693,108,92,1595,66,179,259
48,029,191202,166,0,765,246,135,3077,145,112,615
48,029,191303,12,4,243,76,42,934,30,16,162
48,029,191304,11,0,788,57,48,1738,51,79,82
48,029,191405,36,0,1552,184,71,4666,215,234,705
48,029,191406,0,0,1755,101,28,4156,100,125,1083
48,029,191408,26,0,692,108,49,2096,44,49,71
48,029,191409,0,33,1620,141,77,4407,39,102,236
48,029,191410,62,0,1386,154,344,3861,0,0,147
48,029,191411,0,0,643,132,103,3021,32,97,276
48,029,191412,14,21,479,39,5,1270,26,39,253
48,029,191413,31,0,1342,102,38,3847,100,120,433
48,029,191503,38,0,963,144,117,2913,246,189,494
48,029,191504,21,0,559,76,19,1443,40,60,371
48,029,191505,9,0,421,39,38,1086,63,30,514
48,029,191506,104,0,959,154,86,3161,167,61,632
48,029,191701,0,0,328,14,15,812,60,30,243
48,029,191702,1,0,1457,120,76,4177,180,256,988
48,029,191804,29,43,1479,143,63,3732,115,138,549
48,029,191806,39,60,2764,156,82,4858,74,72,323
48,029,191807,0,0,971,35,53,2439,60,66,549
48,029,191808,6,0,1029,13,26,2363,36,4,126
48,029,191809,0,11,2220,105,73,3672,56,124,352
48,029,191810,9,32,1727,121,42,3094,34,20,206
48,029,191811,50,10,1484,59,0,2443,8,51,204
48,029,191812,12,3,1512,37,14,2892,17,172,116
48,029,191813,20,0,2126,24,116,3547,203,121,291
48,029,191814,13,26,1345,90,19,2497,87,40,169
48,029,191815,0,15,1486,75,0,3474,44,16,260
48,029,191816,11,0,470,46,9,1636,65,198,416
48,029,191817,40,0,3522,198,44,6252,234,338,617
48,029,191900,129,30,1421,376,274,2834,45,201,248
48,029,192000,0,0,415,551,119,3410,31,61,642
48,029,192100,17,0,358,28,50,1662,145,87,299
48,029,192200,0,24,340,73,77,796,11,20,36
48,029,192300,13,0,728,93,35,2656,59,134,482
48,029,980001,0,0,0,0,0,0,0,0,0
48,029,980002,0,0,0,0,0,16,0,0,4
48,029,980003,6,0,332,15,0,402,0,0,21
48,029,980004,0,0,0,0,0,0,0,0,0
48,029,980005,0,0,5,0,0,18,0,0,0
48,029,980100,0,0,27,4,0,115,0,0,0
