state,county,tract,Citizen,Naturalized Citizen,Not a U.S. Citizen,English,Speaks Spanish,Speaks Other Language
48,039,662700,2290,40,132,2109,327,26
48,039,662800,5412,65,30,5198,276,33
48,039,662900,4657,137,91,4271,556,58
48,039,663000,3638,74,135,3191,562,94
48,039,663100,5835,111,78,4989,792,243
48,039,663200,3951,168,212,3669,496,166
48,039,663300,1757,96,101,1522,406,26
48,039,663400,5964,569,194,5374,811,542
48,039,663500,5483,174,159,4715,1047,54
48,039,663600,4896,108,39,4509,446,88
48,039,663700,2838,124,109,2270,774,27
48,039,663800,4399,399,701,3672,1826,1
48,039,663900,1583,114,282,1097,864,18
48,039,664000,3036,141,577,2183,1571,0
48,039,664100,4278,123,1086,3189,2095,203
48,039,664200,1788,54,36,1615,244,19
48,039,664300,3829,451,895,2282,2765,128
48,039,664400,4790,283,484,3531,1989,37
48,039,664501,4546,105,408,4057,959,43
48,039,990000,0,0,0,0,0,0
48,041,000101,6410,165,297,5859,919,94
48,041,000102,5540,121,137,5262,261,275
48,041,000103,1558,0,25,1485,81,17
48,041,000201,5219,173,749,4860,958,323
48,041,000202,5929,177,1068,4931,2158,85
48,041,000300,5487,133,1006,3647,2979,0
48,041,000400,4640,109,152,3965,870,66
48,041,000500,4443,148,1068,3205,2432,22
48,041,000603,2931,189,1238,1821,2526,11
48,041,000604,3040,289,1722,1767,3270,14
48,041,000700,2277,62,273,1683,879,50
48,041,000800,4333,112,130,3604,867,104
48,041,000900,1661,159,436,1164,1040,52
48,041,001000,6390,261,1369,5826,1440,754
48,041,001100,3811,79,276,3593,528,45
48,041,001301,2335,15,379,2260,305,164
48,041,001302,3381,199,515,3088,496,511
48,041,001303,4258,92,993,4024,616,703
48,041,001400,1854,113,1019,1730,265,991
48,041,001601,3638,212,695,3454,288,803
48,041,001604,4246,115,791,3920,342,890
48,041,001605,2849,114,352,2584,399,332
48,041,001606,2468,33,590,2205,432,454
48,041,001701,3863,58,882,3474,616,713
48,041,001702,2922,61,174,2651,392,114
48,041,001801,3613,140,233,3358,510,118
48,041,001803,4976,409,821,4845,442,919
48,041,001804,869,41,62,797,126,49
48,041,001900,5021,101,162,4748,385,151
48,041,002001,4063,166,126,3880,234,241
48,041,002002,5815,249,349,5667,323,423
48,041,002006,1008,101,415,943,214,367
48,041,002007,5903,204,263,5080,708,582
48,041,002008,5379,295,378,5146,245,661
48,041,002009,3678,218,170,3534,95,437
48,041,002010,2383,91,109,2193,332,58
48,041,002011,2796,77,64,2617,266,54
48,041,002012,6323,51,418,5787,555,450
48,041,002013,4900,133,212,4750,401,94
48,041,002014,1562,7,0,1482,73,14
48,041,002015,8791,224,329,7630,1133,581
48,041,980000,4,0,0,4,0,0
48,043,950300,3733,156,153,3039,995,8
48,043,950400,1791,24,27,639,1203,0
48,043,950500,2662,74,111,1779,958,110
48,045,950200,1358,26,122,1194,311,1
