state,county,tract,B11001B_003E,B11001B_005E,B11001B_006E,B11001B_008E,B11001B_009E,B11001C_003E,B11001C_005E,B11001C_006E,B11001C_008E,B11001C_009E,B11001D_003E,B11001D_005E,B11001D_006E,B11001D_008E,B11001D_009E,B11001E_003E,B11001E_005E,B11001E_006E,B11001E_008E,B11001E_009E,B11001F_003E,B11001F_005E,B11001F_006E,B11001F_008E,B11001F_009E,B11001G_003E,B11001G_005E,B11001G_006E,B11001G_008E,B11001G_009E,B11001H_003E,B11001H_005E,B11001H_006E,B11001H_008E,B11001H_009E,B11001I_003E,B11001I_005E,B11001I_006E,B11001I_008E,B11001I_009E
48,027,021601,15,27,63,19,8,4,0,0,0,0,0,0,0,20,0,0,0,0,0,0,25,9,9,15,0,12,0,0,0,0,282,18,146,354,111,332,94,77,89,0
48,027,021602,15,0,28,8,5,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,5,104,0,52,98,13,47,0,13,14,10
48,027,021700,0,0,14,19,23,12,0,0,0,0,71,0,0,55,0,0,0,0,0,0,8,0,13,18,0,0,0,0,0,0,1527,0,406,689,71,135,0,34,48,0
48,027,021800,137,0,106,26,7,7,0,53,0,5,19,0,0,0,0,0,0,0,0,0,73,0,0,22,0,31,0,15,16,0,631,139,400,415,78,209,31,110,109,0
48,027,021901,48,27,83,42,8,0,0,0,0,0,13,0,21,38,0,0,0,0,0,0,44,0,0,18,0,5,0,5,14,0,487,0,100,223,90,53,24,30,35,2
48,027,021903,310,0,199,108,0,0,0,0,19,0,116,0,11,0,0,0,0,14,0,0,0,0,0,0,0,113,0,16,0,0,1152,21,149,229,0,170,124,34,22,0
48,027,021904,111,0,74,87,45,10,0,32,0,0,74,0,0,0,0,0,0,0,0,0,10,0,18,0,0,56,0,11,10,0,1342,34,227,393,85,115,16,107,88,0
48,027,022000,220,78,134,207,0,30,0,5,11,0,15,0,0,62,0,0,0,0,31,0,55,0,0,0,0,41,0,35,17,0,914,98,78,234,88,293,60,52,46,0
48,027,022101,102,0,92,362,0,0,0,0,0,0,26,0,0,0,0,13,0,111,0,0,29,0,11,17,18,0,0,34,0,0,208,47,202,193,53,142,10,78,66,25
48,027,022103,385,72,77,109,0,0,0,0,0,0,35,0,12,9,4,0,0,0,0,0,51,23,19,0,0,17,0,0,9,0,505,0,109,32,62,167,34,49,63,0
48,027,022104,210,0,192,215,46,0,0,0,12,0,6,0,12,11,0,12,33,0,0,0,32,0,0,0,0,29,0,88,47,0,262,24,51,192,78,88,0,82,3,0
48,027,022105,48,5,104,5,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,39,0,0,15,0,10,0,0,0,0,181,40,49,81,32,68,0,13,15,19
48,027,022200,230,0,125,201,14,0,0,0,0,0,0,0,0,12,0,0,0,0,47,0,7,0,0,28,0,16,0,33,50,20,159,7,0,181,54,75,0,57,113,20
48,027,022300,107,58,119,254,31,0,0,0,0,0,45,0,0,37,0,0,0,0,0,0,11,13,0,27,42,32,0,19,0,26,311,15,58,202,32,111,34,4,108,42
48,027,022401,433,124,324,61,36,10,0,0,0,0,57,0,34,64,0,0,0,0,0,13,8,0,0,0,0,24,0,0,16,0,383,0,33,199,23,106,0,130,50,0
48,027,022402,418,30,29,63,0,26,0,0,0,0,89,0,0,7,0,22,0,0,0,7,81,0,7,0,0,8,0,22,65,35,433,30,124,224,29,278,0,15,0,0
48,027,022403,174,56,46,139,0,22,0,0,0,0,5,0,0,0,0,0,0,0,0,0,71,12,0,12,0,18,0,0,20,0,406,0,76,111,35,201,55,3,31,0
48,027,022404,530,0,253,95,11,40,0,0,17,0,22,0,85,77,0,0,0,0,0,0,14,0,0,0,0,88,0,35,11,0,396,22,284,92,0,327,52,73,129,0
48,027,022405,29,0,11,40,85,0,0,0,6,0,16,0,0,10,0,0,0,0,0,0,28,0,4,4,0,38,0,0,32,4,216,38,5,87,64,79,0,5,78,4
48,027,022501,73,0,4,76,0,0,0,0,0,0,24,0,0,0,0,19,0,0,0,0,9,11,0,0,0,11,0,0,0,0,325,0,103,277,41,62,51,0,35,0
48,027,022502,756,26,215,226,0,38,0,0,46,0,20,0,0,44,0,0,0,0,36,0,243,0,13,22,0,0,0,0,25,0,671,172,97,294,51,508,0,41,101,0
48,027,022600,126,34,80,188,9,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,53,1,35,0,0,0,0,6,5,0,263,10,70,164,63,103,11,61,164,39
48,027,022801,62,0,73,169,18,22,0,0,0,0,0,0,19,28,24,0,0,0,0,0,49,24,14,26,0,0,0,0,34,0,107,22,56,170,0,107,40,30,108,0
48,027,022900,102,0,98,124,12,0,24,0,0,0,33,0,41,47,0,0,0,0,0,0,42,24,19,39,11,17,0,0,50,0,174,33,99,230,72,188,66,98,115,11
