state,county,tract,B16008_006E,B16008_007E,B16008_009E,B16008_010E,B16008_014E,B16008_015E,B16008_017E,B16008_018E,B16008_022E,B16008_024E,B16008_025E,B16008_027E,B16008_028E,B16008_030E,B16008_032E,B16008_033E,B16008_035E,B16008_036E,B16008_039E,B16008_041E,B16008_042E,B16008_044E,B16008_045E,B16008_047E,B16008_049E,B16008_050E,B16008_052E,B16008_053E
48,441,011500,38,10,0,0,109,58,23,0,0,0,0,0,0,73,26,0,0,0,0,0,0,0,0,37,11,8,0,0
48,441,011600,0,0,0,0,189,45,10,0,0,0,0,0,0,1,0,59,12,0,0,0,0,0,0,0,0,26,11,8
48,441,011700,12,0,0,0,299,22,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,35,0,0
48,441,011900,65,4,0,0,324,45,0,0,0,0,0,0,0,0,4,20,0,0,0,0,7,0,0,0,11,73,0,0
48,441,012000,0,0,0,0,53,7,8,0,0,0,0,0,0,7,0,0,5,28,0,0,0,0,0,0,0,0,0,0
48,441,012100,0,0,0,0,25,20,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
48,441,012200,17,7,0,0,243,15,16,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5,10,9,18,0,8
48,441,012300,106,9,10,0,109,69,0,0,0,0,0,0,0,0,23,85,3,12,4,0,0,0,0,6,22,0,0,41
48,441,012400,35,0,0,4,120,25,18,5,0,0,0,0,0,0,59,21,5,0,0,0,0,0,0,0,18,0,0,0
48,441,012500,26,0,0,0,199,17,9,0,0,0,0,0,0,12,0,0,0,9,0,0,0,0,0,0,0,46,0,0
48,441,012600,60,0,9,0,106,9,0,0,0,0,0,0,0,8,0,0,17,19,0,0,0,23,76,0,0,0,0,153
48,441,012700,71,0,0,0,247,63,20,10,0,0,0,0,0,48,26,9,99,64,0,0,0,0,0,30,38,25,62,24
48,441,012801,0,0,0,0,242,24,26,21,0,0,0,0,0,0,16,0,23,17,0,0,0,0,0,25,5,29,0,74
48,441,012802,21,0,123,0,264,8,41,0,0,0,0,0,0,56,0,57,73,126,0,80,0,0,7,29,0,118,0,275
48,441,012900,18,0,58,28,38,8,75,0,0,0,0,0,0,12,4,0,4,0,0,0,0,0,0,0,0,0,0,50
48,441,013000,0,0,0,0,27,0,3,0,0,0,0,0,0,4,20,0,0,0,0,0,0,0,0,0,0,0,14,0
48,441,013100,138,0,20,16,696,49,124,32,0,0,0,0,0,42,19,18,20,0,0,0,0,0,0,0,16,94,14,12
48,441,013200,28,5,0,0,133,4,32,0,0,0,0,0,0,5,6,0,0,0,0,0,0,0,0,0,0,6,0,0
48,441,013300,2,17,10,0,288,9,44,0,0,0,0,0,0,12,0,104,8,23,0,0,0,24,9,14,0,16,86,12
48,441,013401,12,0,0,0,158,11,49,8,0,0,0,0,0,26,2,0,11,7,0,0,0,0,0,20,0,37,20,8
48,441,013402,26,0,0,0,188,20,65,0,14,0,0,0,0,0,27,0,31,0,0,0,0,0,0,0,0,23,60,12
48,441,013404,166,55,32,0,390,28,16,0,80,0,0,0,0,12,47,28,122,0,0,0,0,0,0,0,28,55,0,0
